Tweets,Date
wkwkwkw momen paling brengsek tuh emang ngeliat orang yg udah bikin trauma happy2 aja,2023-04-11 15:38:08+00:00
mnding w mnding U CWO BRENGSEK SIALAN MENDING JOSHUA LAH,2023-04-11 15:37:25+00:00
"dari semua series ini,cuma Dark yg endingnya asu kabeh brengsek jingan jahanam kesel maumarah kembalikan waktu sayaa aaaaargh https://t.co/VajKMTiUQS",2023-04-11 15:36:54+00:00
@Ik2t04crFg8JN4v Brengsek tebal amat ajg halamannya nyampe ratusan,2023-04-11 15:34:58+00:00
"@cowobangkit Om aing mah jago pisan kalau bikin kata"" 😁",2023-04-11 15:34:46+00:00
@munloeychan wah ini ketikan brengsek bgt 😭,2023-04-11 15:34:38+00:00
@telyufess Heran banget kenapa cewe” tuh malah suka cowo brengsek ya? Pdhal pacaran sama cowo baik tuh enak banget 😭😭,2023-04-11 15:34:38+00:00
Pengen au kenyu brengsek bgt😔🫰🏻🙏,2023-04-11 15:33:54+00:00
diantara laki-laki brengsek masi ada laki laki-baik tp cuma joshua https://t.co/yr9guVKTcf,2023-04-11 15:33:07+00:00
@tanyakanrl Brengsek emg. Suruh aja pacaran sm temenmu nder. kurang ajar ga bersyukur,2023-04-11 15:30:29+00:00
Aku sng 24tahun wae isih hulahulo😂,2023-04-11 15:29:35+00:00
bahagianya selalu nemu diorg brengsek💔,2023-04-11 15:29:06+00:00
Nngisin peminatan brengsek,2023-04-11 15:28:29+00:00
"@detikcom Dokter juga manusia, terlihat dr seragamnya masih coas dan wajahnya seperti habis dinas malam tuh trus ketemu ibu model yg videoin itu pasti jd penyulut emosi. Aku yakin si ibu yg rekam ini lebih brengsek.",2023-04-11 15:28:24+00:00
"ini gohyong pindah pindah mulu anjg, uda 4 kali muterin dharmawangsa 2 3 4 ga nemu nemu brengsek.. Mala orang sekitaran kagak tau lagi apaan ayam gohyong _-",2023-04-11 15:27:47+00:00
"@IndiHomeCare Piter, pembodohan ke pelanggan masih saja diteruskan, brengsek! Refresh jaringannya!",2023-04-11 15:26:39+00:00
Brengsek lu ly,2023-04-11 15:25:52+00:00
