"Date","Price","Open","Close","High","Low","Vol.","Change %"
"07/29/2011",1626.64,1616.05,1628.14,1632.80,1610.64,,0.61
"07/28/2011",1616.85,1613.50,1616.05,1620.10,1603.40,,0.21
"07/27/2011",1613.50,1618.49,1613.50,1628.50,1608.96,,-0.36
"07/26/2011",1619.30,1614.55,1618.49,1620.49,1608.29,,0.29
"07/25/2011",1614.55,1599.28,1614.55,1622.99,1599.28,,0.96
"07/22/2011",1599.25,1592.98,1599.28,1609.01,1585.36,,0.59
"07/21/2011",1589.90,1598.58,1592.98,1606.16,1586.59,,-0.76
"07/20/2011",1602.10,1589.85,1598.58,1603.69,1583.00,,0.87
"07/19/2011",1588.35,1605.30,1589.85,1610.01,1582.59,,-1.06
"07/18/2011",1605.40,1595.45,1605.30,1609.01,1593.59,,0.71
"07/15/2011",1594.10,1588.75,1595.45,1595.65,1577.81,,0.43
"07/14/2011",1587.25,1582.25,1588.75,1594.66,1579.30,,0.32
"07/13/2011",1582.25,1566.95,1582.25,1587.96,1564.35,,0.96
"07/12/2011",1567.20,1555.60,1566.95,1574.96,1542.30,,0.84
"07/11/2011",1554.10,1544.05,1555.60,1557.09,1541.90,,0.64
"07/08/2011",1544.25,1533.85,1544.05,1547.30,1526.20,,0.76
"07/07/2011",1532.55,1530.10,1533.85,1536.20,1524.81,,0.20
"07/06/2011",1529.50,1517.64,1530.10,1535.45,1511.89,,0.87
"07/05/2011",1516.30,1496.05,1517.64,1517.09,1493.00,,1.36
"07/04/2011",1495.95,1486.50,1496.05,1497.06,1485.91,,0.64
"07/01/2011",1486.50,1502.84,1486.50,1504.19,1480.01,,-0.91
"06/30/2011",1500.10,1512.05,1502.84,1514.21,1498.70,,-0.79
"06/29/2011",1512.05,1501.80,1512.05,1513.19,1500.50,,0.74
"06/28/2011",1501.00,1496.70,1501.80,1506.56,1496.00,,0.27
"06/27/2011",1497.00,1500.50,1496.70,1507.29,1492.30,,-0.34
"06/24/2011",1502.15,1522.70,1500.50,1527.41,1500.41,,-1.23
"06/23/2011",1520.85,1549.29,1522.70,1550.85,1514.70,,-1.74
"06/22/2011",1547.80,1548.45,1549.29,1559.75,1543.10,,0.10
"06/21/2011",1546.20,1540.45,1548.45,1548.40,1538.55,,0.37
"06/20/2011",1540.45,1538.90,1540.45,1546.40,1533.24,,0.06
"06/17/2011",1539.50,1528.85,1538.90,1542.15,1522.50,,0.70
"06/16/2011",1528.85,1530.09,1528.85,1532.80,1522.40,,-0.12
"06/15/2011",1530.70,1523.75,1530.09,1534.25,1514.36,,0.43
"06/14/2011",1524.10,1516.73,1523.75,1527.80,1513.95,,0.59
"06/13/2011",1515.23,1530.50,1516.73,1533.06,1511.61,,-1.09
"06/10/2011",1531.90,1545.60,1530.50,1546.99,1527.74,,-0.81
"06/09/2011",1544.35,1538.80,1545.60,1551.30,1534.90,,0.44
"06/08/2011",1537.55,1545.75,1538.80,1548.09,1532.76,,-0.43
"06/07/2011",1544.25,1543.55,1545.75,1550.50,1536.70,,0.02
"06/06/2011",1544.00,1544.59,1543.55,1555.30,1542.20,,0.10
